No,ID,ASAS_ID_V,ASAS_ID_I,2MASS_ID,RAd,DEC,V,I,V-I,J,J-H,H-K,Type,Period,V_amp,I_amp
163,191004+5033.4,191004+5033.4,191004+5033.4,19100386+5033239,287.51612,50.55664,13.664,13.084,0.58,12.697,0.241,0.044,EW,0.499897,0.5,0.42
164,191022+4227.6,191022+4227.6,191022+4227.6,19102224+4227315,287.59271,42.45877,12.731,12.095,0.636,11.965,0.222,0.051,RRAB,0.52739,1.06,0.63
165,191024+4046.1,191024+4046.1,191024+4046.0,19102358+4046045,287.59825,40.76793,14.263,13.925,0.338,13.282,0.139,0.001,EW/RRC,0.53833,0.61,0.47
166,191024+5030.4,191024+5030.4,191024+5030.4,19102392+5030234,287.59967,50.5065,15.233,12.201,3.032,10.332,0.894,0.298,APER,N/A,1.7,0.93
167,191025+3940.8,191025+3940.8,191025+3940.8,19102484+3940458,287.60353,39.67939,13.233,9.38,3.853,6.724,0.91,0.386,APER,N/A,1.93,0.85
168,191028+4610.5,191028+4610.5,191028+4610.5,19102799+4610287,287.61663,46.17466,12.641,9.035,3.606,7.001,0.885,0.324,QPER,79.7,0.88,0.3
169,191048+3858.4,191048+3858.4,191048+3858.4,19104799+3858265,287.69999,38.97404,12.056,7.496,4.56,5.079,1.103,0.359,APER,N/A,1.42,0.97
170,191049+3834.4,191049+3834.4,191049+3834.4,19104878+3834256,287.70326,38.57379,12.138,8.034,4.104,5.68,99.999,99.999,APER,N/A,1.52,0.89
171,191050+3918.8,191050+3918.8,191050+3918.8,19104985+3918486,287.70774,39.31353,14.265,13.339,0.926,12.54,0.412,0.084,EW,0.316201,0.57,0.48
172,191055+4735.8,191055+4735.8,191055+4735.9,19105516+4735505,287.72985,47.59736,14.653,14.128,0.525,13.338,0.284,-0.002,EW,0.266905,0.79,0.62
173,191056+4259.0,191056+4259.0,191056+4259.0,19105566+4258586,287.73193,42.98295,11.684,8.911,2.773,7.293,0.832,0.29,QPER,18.72,0.23,0.07
174,191100+4543.2,191100+4543.2,191100+4543.3,19105945+4543171,287.74772,45.72142,13.012,12.28,0.732,99.999,99.999,99.999,EW,0.280619,0.3,0.23
175,191109+4532.6,191109+4532.6,191109+4532.6,19110887+4532372,287.78699,45.54368,12.544,9.183,3.361,7.279,0.952,0.316,QPER,59.7,0.62,0.32
176,191110+5032.7,191110+5032.7,191109+5032.6,19110944+5032378,287.78935,50.54386,12.543,11.936,0.607,11.485,0.248,0.047,EW,0.385604,0.2,0.16
177,191111+3840.8,191111+3840.8,191111+3840.8,19111122+3840505,287.79676,38.68071,12.686,9.506,3.18,7.735,0.981,0.284,QPER,70.4,0.85,0.23
178,191117+3850.1,191117+3850.1,191117+3850.1,19111685+3850058,287.82021,38.83495,10.857,7.965,2.892,6.3,0.93,0.341,QPER,53.8,0.27,0.18
179,191123+4728.2,191123+4728.2,191122+4728.3,19112234+4728151,287.84308,47.47087,11.189,8.485,2.704,6.877,0.885,0.298,APER,N/A,0.75,0.29
180,191143+4745.5,191143+4745.5,191143+4745.4,19114281+4745271,287.92841,47.75754,12.369,8.297,4.072,5.936,0.851,0.359,APER,N/A,1.02,0.5
181,191152+4614.2,191152+4614.2,191152+4614.2,19115236+4614145,287.96818,46.23737,12.279,9.617,2.662,8.069,0.906,0.292,QPER,22.03,0.25,0.1
182,191154+3850.5,191154+3850.5,191154+3850.6,19115385+3850327,287.97439,38.84243,12.283,11.773,0.51,11.413,0.157,0.024,QPER,58.3,0.36,0.2
183,191159+4357.6,191159+4357.6,191200+4357.4,BLEND,287.9979,43.9583,13.339,9.851,3.488,99.999,99.999,99.999,APER,N/A,0.59,0.66
184,191200+4025.7,191200+4025.7,191200+4025.8,19120024+4025512,288.00102,40.43092,15.33,10.457,4.873,7.68,0.87,0.395,QPER,139.2,1.75,0.67
185,191210+4542.6,191210+4542.6,191210+4542.6,19120942+4542335,288.03927,45.70932,11.506,8.532,2.974,6.872,0.915,0.287,QPER,47.6,0.5,0.16
186,191210+4153.9,noID,191210+4153.9,19120953+4153367,288.03971,41.89355,99.999,11.33,99.999,7.263,1.373,0.914,APER/MIRA,N/A,99.99,1.38
187,191213+4008.0,191213+4008.0,191213+4008.0,19121271+4007586,288.05297,40.13297,12.166,11.646,0.52,11.216,0.173,0.073,QPER,58.1,0.41,0.34
188,191216+4307.5,191216+4307.5,191216+4307.5,19121572+4307296,288.06552,43.12491,11.243,10.379,0.864,9.916,0.461,0.109,EW,0.491879,0.14,0.1
189,191244+4042.8,191244+4042.8,191244+4042.8,19124390+4042475,288.18294,40.71321,12.998,9.145,3.853,7.058,0.933,0.294,QPER,75.7,0.69,0.37
190,191259+4115.1,191259+4115.1,191259+4115.2,19125877+4115087,288.24489,41.25243,13.31,9.897,3.413,7.725,0.936,0.349,QPER,69.2,0.65,0.35
191,191301+4953.3,191301+4953.3,191301+4953.3,19130109+4953172,288.25455,49.88811,11.18,7.299,3.881,4.611,0.903,0.51,QPER,111.6,0.97,0.7
192,191310+3959.7,191310+3959.7,191310+3959.7,19130989+3959449,288.29125,39.99583,12.863,10.325,2.538,8.815,0.895,0.263,QPER,21.79,0.46,0.16
193,191316+4659.0,191316+4659.0,noID,19131555+4658558,288.3148,46.98217,11.832,99.999,99.999,3.673,0.97,0.703,MIRA,371,4.48,99.99
194,191338+4342.4,191338+4342.4,191338+4342.4,BLEND,288.4083,43.7067,10.64,10.167,0.473,99.999,99.999,99.999,EW/PER,0.82693,0.23,0.22
195,191340+4106.4,191340+4106.4,191339+4106.4,19133935+4106257,288.41399,41.10714,11.366,9.212,2.154,7.851,0.882,0.217,QPER,32.44,0.29,0.12
196,191355+5120.3,191355+5120.3,noID,19135541+5120188,288.48088,51.33857,11.094,99.999,99.999,99.999,99.999,99.999,APER,N/A,0.61,99.99
197,191404+4812.1,191404+4812.1,191404+4812.0,19140390+4811586,288.51626,48.19962,14.361,13.836,0.525,13.42,0.182,0.161,RRAB,0.480294,1.69,0.98
198,191410+4232.4,191410+4232.4,191410+4232.4,19141015+4232258,288.5423,42.5405,12.935,8.794,4.141,6.294,0.921,0.39,QPER,97.7,0.63,0.32
199,191416+4100.5,191416+4100.5,191416+4100.5,19141634+4100308,288.56809,41.00856,14.586,10.195,4.391,7.439,0.868,0.404,QPER,230,3.2,0.92
200,191420+5036.7,191420+5036.7,191420+5036.7,19142051+5036415,288.58549,50.61155,13.612,10.552,3.06,8.79,0.888,0.313,APER,N/A,0.87,0.41
201,191421+4221.1,191421+4221.1,191421+4221.1,19142053+4221079,288.58558,42.35222,11.58,8.078,3.502,6.109,0.897,0.319,QPER,66.5,0.7,0.3
202,191426+4334.4,191426+4334.4,191426+4334.3,BLEND,288.6083,43.5725,13.269,12.599,0.67,99.999,99.999,99.999,PER,0.63038,0.19,0.1
203,191438+4227.4,191438+4227.4,noID,19143843+4227211,288.66013,42.45587,11.324,99.999,99.999,99.999,99.999,99.999,QPER,68.8,0.4,99.99
204,191438+4107.0,191438+4107.0,191440+4107.1,BLEND,288.6625,41.1175,13.312,10.868,2.444,99.999,99.999,99.999,QPER,105.9,0.27,0.38
205,191452+4230.1,191452+4230.1,191452+4230.1,19145240+4230082,288.71837,42.50229,10.172,9.801,0.371,9.578,0.094,0.013,EW/PER,0.77284,0.1,0.1
206,191456+4546.2,191456+4546.2,191456+4546.2,19145589+4546120,288.73291,45.77002,11.605,9.052,2.553,7.552,0.892,0.315,QPER,56.8,0.69,0.29
207,191457+4219.8,191457+4219.8,191457+4219.9,19145672+4219500,288.73634,42.33056,13.601,10.232,3.369,8.267,0.871,0.408,QPER,64,0.82,0.36
208,191458+4022.9,191458+4022.9,191458+4023.0,19145793+4022543,288.74138,40.38177,11.275,7.36,3.915,4.112,0.829,0.461,APER,N/A,0.84,0.78
209,191500+4313.0,191500+4313.0,191459+4313.0,19145937+4313008,288.74738,43.21691,11.333,8.88,2.453,7.347,0.861,0.252,PER,0.336909,0.08,0.04
210,191501+4113.9,191501+4113.9,191500+4113.8,BLEND,288.7521,41.2308,13.516,12.95,0.566,99.999,99.999,99.999,PER,0.0703176,0.36,0.13
211,191501+5136.0,191501+5136.0,191501+5136.0,19150147+5136000,288.75615,51.6,14.856,11.985,2.871,10.482,0.981,0.275,QPER,84.1,1.2,0.34
212,191512+4805.1,191512+4805.1,191512+4805.2,19151150+4805105,288.79795,48.08628,11.827,9.526,2.301,8.251,0.877,0.251,QPER,117.6,1.32,0.7
213,191512+3942.8,191512+3942.8,191512+3942.8,19151212+3942504,288.80054,39.71402,11.269,10.441,0.828,8.601,0.42,0.614,QPER,128.8,0.82,0.79
214,191513+3937.7,191513+3937.7,191513+3937.6,19151294+3937405,288.80394,39.62793,14.983,10.824,4.159,8.474,0.875,0.349,APER,N/A,0.97,0.37
215,191517+4758.8,191517+4758.8,191517+4758.8,19151697+4758512,288.82072,47.9809,12.813,9.813,3,8.222,0.911,0.283,QPER,66.6,0.91,0.26
216,191521+3958.8,noID,191521+3958.8,19152062+3958488,288.83592,39.98024,99.999,10.771,99.999,8.644,0.798,0.498,MIRA,235,99.99,1.57
217,191526+4248.7,191526+4248.7,191526+4248.7,BLEND,288.8583,42.8117,12.931,11.933,0.998,99.999,99.999,99.999,EW,0.281166,0.38,0.35
218,191529+4722.2,191529+4722.2,191528+4722.2,19152862+4722118,288.86927,47.36997,14.186,13.549,0.637,13.393,0.231,-0.03,EW,0.430047,0.72,0.48
219,191534+4437.0,191534+4437.0,191534+4437.0,19153369+4437012,288.8904,44.61703,10.47,9.739,0.731,9.481,0.275,0.078,EA,1.06192,0.3,0.36
220,191541+4602.1,191541+4602.1,191541+4602.1,19154136+4602085,288.92236,46.03571,13.924,9.23,4.694,6.386,0.896,0.412,QPER,97.7,0.95,0.33
221,191552+4306.5,191552+4306.5,191552+4306.5,19155176+4306271,288.96569,43.10753,12.937,12.206,0.731,11.702,0.272,0.062,EW/EA,0.466579,0.35,0.39
222,191552+3919.0,noID,191552+3919.0,19155248+3918579,288.96869,39.31611,99.999,9.395,99.999,6.116,0.939,0.427,QPER,96.8,99.99,0.39
223,191554+4030.5,191554+4030.5,191554+4030.6,19155373+4030362,288.97388,40.51008,14.017,13.345,0.672,13.159,0.267,0.08,EW,0.39332,0.88,0.78
224,191600+4720.4,191600+4720.4,191600+4720.4,19155987+4720223,288.99949,47.33953,13.65,11.25,2.4,9.794,0.886,0.252,QPER,86,0.32,0.17
225,191604+5009.6,191604+5009.6,noID,19160402+5009366,289.01679,50.16017,10.54,99.999,99.999,3.55,0.8,0.482,QPER,136.2,0.7,99.99
226,191609+5134.7,191609+5134.7,191609+5134.8,19160930+5134435,289.03879,51.57876,12.456,8.841,3.615,6.719,0.877,0.377,QPER,230,1.36,0.58
227,191614+4629.2,191614+4629.2,noID,19161360+4629090,289.05667,46.48584,8.998,99.999,99.999,6.803,0.575,0.158,QPER,65.2,0.12,99.99
228,191616+4758.4,191616+4758.4,191616+4758.4,19161634+4758237,289.06811,47.97326,12.505,9.972,2.533,8.604,0.889,0.284,APER,N/A,0.88,0.21
229,191629+4039.0,191629+4039.0,191629+4039.0,19162894+4039018,289.12061,40.65052,13.483,12.873,0.61,12.257,0.168,0.034,EW,0.79605,0.58,0.48
230,191632+5132.3,191632+5132.3,191632+5132.3,19163156+5132172,289.13154,51.53814,12.868,12.516,0.352,12.319,0.183,0.029,EB/EW,0.6845,0.33,0.52
231,191638+4805.8,191638+4805.8,191638+4805.8,19163802+4805496,289.15843,48.09713,9.056,8.729,0.327,8.495,0.112,0.014,EW,0.7451,0.15,0.15
232,191646+3911.8,191646+3911.8,191646+3911.8,19164590+3911508,289.19126,39.19747,12.974,9.471,3.503,7.396,0.905,0.333,APER,N/A,0.69,0.3
233,191704+5116.5,191704+5116.5,191704+5116.4,19170350+5116246,289.26461,51.27352,12.608,12.044,0.564,11.643,0.252,0.021,PER,0.0517289,0.06,0.01
234,191726+4248.8,191726+4248.8,191725+4248.9,19172579+4248497,289.35749,42.81383,13.348,8.483,4.865,5.589,0.854,0.683,MIRA,392,3.54,2.6
235,191728+4401.9,191728+4401.9,191728+4401.9,19172840+4401513,289.36837,44.03092,10.173,8.037,2.136,6.66,0.825,0.234,QPER,17.6,0.13,0.07
236,191730+5110.9,191730+5110.9,191730+5110.9,19172974+5110548,289.37393,51.18191,12.916,9.465,3.451,7.42,0.921,0.301,QPER,78.4,0.62,0.29
237,191730+4647.4,191730+4647.4,191730+4647.4,19173014+4647224,289.37561,46.78957,11.031,8.042,2.989,6.276,0.912,0.288,QPER,72.4,0.97,0.49
238,191732+4449.6,191732+4449.6,191732+4449.6,19173208+4449333,289.38367,44.82594,11.177,10.294,0.883,9.753,0.399,0.092,EW/PER,0.50797,0.12,0.08
239,191743+4438.5,191743+4438.5,191743+4438.5,19174291+4438290,289.42882,44.64141,12.65,12.358,0.292,12.01,0.12,0.034,EA,1.6064,0.21,0.24
240,191744+4444.5,191744+4444.5,191744+4444.5,19174402+4444324,289.43345,44.74234,13.88,11.048,2.832,9.495,0.941,0.274,APER,N/A,0.97,0.31
241,191744+5013.7,191744+5013.7,191744+5013.8,19174430+5013473,289.43459,50.22983,12.962,9.599,3.363,7.772,0.86,0.373,QPER,24.91,0.39,0.21
242,191753+3923.4,191753+3923.4,191753+3923.4,19175303+3923229,289.47097,39.38972,14.775,11.371,3.404,9.523,0.924,0.295,APER,N/A,1.09,0.5
243,191804+4055.8,191804+4055.8,191804+4056.0,BLEND,289.5167,40.9317,15.065,12.46,2.605,99.999,99.999,99.999,APER,N/A,1.21,1.01
244,191805+4441.2,191805+4441.2,191805+4441.3,19180543+4441153,289.52264,44.68759,12.907,12.424,0.483,11.803,0.136,0.045,EW,0.60835,0.66,0.58
245,191806+5011.8,191806+5011.8,191806+5011.8,19180575+5011488,289.52396,50.19691,9.58,8.196,1.384,7.238,0.628,0.175,PER/CEP,12.782,0.14,0.1
246,191806+3825.0,191806+3825.0,191806+3825.0,19180639+3824580,289.52664,38.41612,12.294,8.952,3.342,7.011,0.881,0.34,PER,20.6,0.06,0.05
247,191831+4958.3,191831+4958.3,191831+4958.3,19183138+4958179,289.63076,49.97166,12.095,8.577,3.518,6.662,0.909,0.3,QPER,81,0.93,0.24
248,191840+4325.7,191840+4325.7,191840+4325.6,19184045+4325392,289.66856,43.42756,11.908,9.105,2.803,7.508,0.889,0.273,APER,N/A,1.41,0.5
249,191841+5138.5,191841+5138.5,191841+5138.4,19184094+5138256,289.67062,51.64047,12.777,9.574,3.203,7.903,0.92,0.287,QPER,99.4,1.08,0.53
250,191845+4956.9,191845+4956.9,191845+4956.9,19184529+4956542,289.68872,49.94841,13.351,11.387,1.964,10.107,0.862,0.19,APER,N/A,0.44,0.2
251,191847+5113.4,191847+5113.4,191847+5113.4,19184749+5113209,289.69788,51.22247,12.866,11.995,0.871,11.684,0.489,0.076,EW,0.366302,0.31,0.25
252,191854+4349.5,191854+4349.5,191854+4349.4,BLEND,289.725,43.8242,12.746,11.411,1.335,99.999,99.999,99.999,CEP/PER,4.1343,0.22,0.35
253,191857+4457.4,191857+4457.4,191857+4457.4,19185699+4457242,289.73749,44.95674,13.711,10.773,2.938,8.667,0.837,0.309,QPER,187,2.29,1.28
254,191857+4527.5,191857+4527.5,191857+4527.5,19185741+4527299,289.73924,45.45833,12.152,11.715,0.437,11.38,0.101,0.06,EB,0.91844,0.57,0.58
255,191900+4332.6,191900+4332.6,191900+4332.6,19185986+4332362,289.74946,43.5434,11.745,11.318,0.427,11.054,0.094,0.055,PER/EW,0.67763,0.14,0.14
256,191902+4359.4,191902+4359.4,noID,19190175+4359268,289.7573,43.99079,10.289,99.999,99.999,5.477,0.811,0.296,QPER,68.8,0.8,99.99
257,191903+4106.5,191903+4106.5,191903+4106.6,19190259+4106342,289.7608,41.1095,15.728,10.326,5.402,7.651,0.814,0.509,MIRA,314,5.38,2.25
258,191906+3822.0,191906+3822.0,191906+3822.0,19190594+3822005,289.77477,38.36681,11.792,11.258,0.534,10.784,0.185,0.068,EB,0.73093,0.67,0.76
259,191912+4348.9,191912+4348.9,191912+4348.9,19191250+4348547,289.80212,43.8152,11.184,8.784,2.4,7.317,0.872,0.265,APER,N/A,0.2,0.6
260,191914+3824.4,191914+3824.4,191914+3824.4,19191386+3824252,289.80776,38.40702,14.923,12.739,2.184,11.253,0.77,0.301,PER,0.4284,0.18,0.11
261,191934+4401.5,191934+4401.5,191934+4401.5,BLEND,289.8917,44.025,11.049,9.716,1.333,99.999,99.999,99.999,QPER,66.1,0.28,0.22
262,191942+5050.8,191942+5050.8,191942+5050.8,19194200+5050474,289.92503,50.8465,13.267,10.571,2.696,8.859,0.921,0.325,QPER,50.2,0.59,0.18
263,191943+4514.3,191943+4514.3,191943+4514.3,19194276+4514197,289.92821,45.23881,14.873,11.223,3.65,9.058,0.887,0.386,APER,N/A,1.45,1.05
264,191949+4616.5,191949+4616.5,191949+4616.4,19194881+4616281,289.95339,46.27449,12.94,9.761,3.179,7.871,0.901,0.291,APER,N/A,0.86,0.4
265,191949+5039.6,191949+5039.6,191950+5039.6,BLEND,289.9563,50.66,12.774,11.914,0.86,99.999,99.999,99.999,EA,0.70545,0.4,0.38
266,191953+4345.8,191953+4345.8,191953+4345.8,19195333+4345439,289.97223,43.76221,16.606,10.541,6.065,7.001,0.918,0.428,MIRA,309,2.24,3.11
267,191954+4015.4,191954+4015.4,191954+4015.3,19195366+4015218,289.9736,40.25607,12.879,8.901,3.978,6.515,0.83,0.436,MIRA,203,5.02,2.05
268,191954+4339.2,191954+4339.2,191954+4339.2,19195369+4339137,289.97373,43.65381,11.745,10.924,0.821,10.461,0.321,0.085,EA,1.7293,0.14,0.15
269,191956+4052.6,191956+4052.6,191955+4052.6,19195500+4052406,289.97918,40.87796,14.118,10.959,3.159,8.994,0.879,0.313,APER,N/A,1.21,0.5
270,191956+4022.6,191956+4022.6,191956+4022.6,19195549+4022403,289.98123,40.37786,13.988,9.988,4,7.759,0.934,0.328,QPER,68.6,0.83,0.39
271,191958+4653.3,191958+4653.3,191958+4653.4,19195795+4653214,289.9915,46.88928,13.573,12.98,0.593,12.451,0.258,0.044,RRAB,0.54859,0.83,0.53
272,192000+4149.1,192000+4149.1,192000+4149.2,19200011+4149074,290.00049,41.81874,11.493,10.594,0.899,10.235,0.462,0.103,PER,13.619,0.06,0.09
273,192007+4326.0,192007+4326.0,192007+4326.0,BLEND,290.0292,43.4333,11.723,10.395,1.328,99.999,99.999,99.999,APER,N/A,0.17,0.18
274,192009+4141.0,192009+4141.0,192009+4141.0,19200875+4140591,290.03649,41.68309,12.198,9.224,2.974,6.988,0.773,0.353,MIRA,98.2,4.18,2.07
275,192009+3752.6,192009+3752.6,192009+3752.6,19200914+3752370,290.03809,37.87695,10.644,7.616,3.028,99.999,99.999,1.133,APER,N/A,2.6,1.61
276,192016+4820.3,192016+4820.3,192015+4820.3,19201546+4820191,290.06443,48.33866,13.48,12.975,0.505,12.339,0.178,0.084,EW/EA,0.418864,0.32,0.47
277,192023+4659.2,192023+4659.2,192023+4659.2,BLEND,290.0958,46.9867,13.51,12.861,0.649,99.999,99.999,99.999,PER/EW,0.244545,0.09,0.14
278,192023+3755.0,192023+3755.0,192023+3755.0,BLEND,290.0958,37.9167,13.127,9.863,3.264,99.999,99.999,99.999,QPER,81.2,0.41,0.14
279,192032+3744.4,192032+3744.4,192032+3744.3,19203219+3744208,290.13416,37.73911,14.914,10.79,4.124,8.176,0.914,0.388,QPER,26.17,0.77,0.3
280,192033+3753.8,192033+3753.8,192033+3753.8,19203285+3753488,290.13688,37.89691,13.411,10.265,3.146,8.463,0.928,0.311,QPER,18.69,0.38,0.14
281,192036+3816.5,192036+3816.5,192036+3816.4,19203579+3816219,290.14915,38.27277,13.812,11.111,2.701,9.54,0.896,0.346,QPER,94.7,0.78,0.63
282,192037+4838.4,192037+4838.4,192038+4838.3,19203749+4838210,290.15624,48.63919,13.435,10.478,2.957,8.818,0.99,0.26,QPER,71.2,0.7,0.39
283,192041+5122.6,192041+5122.6,192041+5122.7,19204110+5122395,290.17125,51.37765,14.111,13.209,0.902,12.795,0.394,0.036,EW/PER,0.284992,0.53,0.56
284,192046+3935.3,192046+3935.3,noID,19204586+3935204,290.19112,39.58901,10.771,99.999,99.999,5.994,0.89,0.321,QPER,29.88,0.27,99.99
285,192051+4814.9,192051+4814.9,192050+4814.9,19205031+4814515,290.20965,48.24765,11.863,9.3,2.563,10.085,0.672,0.131,QPER,202,0.45,0.6
286,192108+5102.0,192108+5102.0,192108+5102.0,19210838+5102009,290.28493,51.03359,12.04,11.183,0.857,10.597,0.414,0.05,EW,0.361814,0.21,0.19
287,192108+4134.6,192108+4134.6,192108+4134.5,19210847+4134340,290.2853,41.57613,12.599,8.716,3.883,6.413,0.905,0.334,QPER,62.6,0.84,0.27
288,192109+3756.2,192109+3756.2,192109+3756.2,19210890+3756114,290.28712,37.93651,10.362,10.154,0.208,10.68,0.154,0.051,EA,1.8913,0.23,0.15
289,192112+4758.7,192112+4758.7,192112+4758.7,19211161+4758430,290.29841,47.97862,9.589,9.33,0.259,9.264,0.089,-0.002,EA/EB,1.23136,0.33,0.25
290,192116+4019.2,192116+4019.2,192116+4019.2,19211638+4019128,290.31828,40.32024,12.755,11.597,1.158,10.756,0.513,0.121,QPER,78.5,0.33,0.27
291,192118+4103.2,192118+4103.2,noID,19211823+4103129,290.326,41.05359,10.243,99.999,99.999,6.237,0.889,0.257,QPER,37.63,0.33,99.99
292,192134+4648.7,192134+4648.7,192134+4648.7,19213378+4648428,290.39079,46.81191,13.719,12.952,0.767,12.442,0.274,0.03,EW,0.362813,0.5,0.45
293,192135+4403.0,192135+4403.0,192135+4403.0,19213515+4403022,290.39647,44.05063,10.389,10.349,0.04,10.4,-0.059,-0.032,PER,1.10146,0.08,0.1
294,192139+4001.8,192139+4001.8,192138+4001.9,19213850+4001495,290.41043,40.03042,11.708,10.394,1.314,9.548,0.665,0.155,QPER,16.11,0.12,0.16
295,192139+3956.1,192139+3956.1,192139+3956.1,19213906+3956080,290.41277,39.93557,10.452,9.615,0.837,8.877,0.448,0.679,QPER,70.4,0.45,0.26
296,192143+3849.2,192143+3849.2,192143+3849.2,19214293+3849155,290.4289,38.821,13.616,10.685,2.931,9.082,0.884,0.314,QPER,53.6,1.06,0.41
297,192144+4803.9,192144+4803.9,192144+4803.9,19214390+4803572,290.43293,48.06591,13.603,12.791,0.812,12.108,0.371,0.043,EW,0.35337,0.89,0.78
298,192152+4911.9,192152+4911.9,192152+4911.9,19215214+4911551,290.46725,49.19864,14.443,13.094,1.349,11.921,0.694,0.156,CEP/PER,3.4521,0.54,0.68
299,192204+3832.1,192204+3832.1,192203+3832.0,BLEND,290.5146,38.5342,13.988,10.847,3.141,99.999,99.999,99.999,QPER,239,0.85,0.94
300,192204+4041.8,192204+4041.8,192204+4041.8,19220417+4041485,290.51741,40.69681,11.502,10.771,0.731,10.301,0.319,0.048,EA,1.51955,0.56,0.5
301,192206+4432.1,192206+4432.1,192206+4432.1,19220557+4432041,290.52323,44.53447,14.68,10.203,4.477,8.007,0.918,0.334,QPER,51.8,1.88,0.34
302,192206+4907.2,192206+4907.2,192206+4907.2,19220586+4907099,290.52443,49.11943,12.104,9.863,2.241,8.485,0.873,0.25,QPER,30.29,0.25,0.28
303,192210+5048.7,192210+5048.7,192210+5048.7,19221039+5048401,290.54332,50.81116,10.233,10.228,0.005,10.24,-0.068,0.013,PER,0.369581,0.04,0.04
304,192215+4637.9,192215+4637.9,192214+4637.9,19221510+4637533,290.56294,46.63147,11.593,7.87,3.723,5.702,99.999,99.999,APER,N/A,1.53,0.6
305,192217+4803.2,192217+4803.2,192216+4803.2,19221650+4803104,290.56876,48.05291,14.132,10.307,3.825,8.066,0.928,0.347,QPER,70.6,0.93,0.38
306,192217+3855.3,192217+3855.3,192217+3855.3,19221663+3855156,290.5693,38.921,11.795,9.14,2.655,7.617,0.865,0.306,QPER,36.47,0.36,0.1
307,192219+4415.2,192219+4415.2,192219+4415.1,19221923+4415114,290.58017,44.25318,12.76,8.658,4.102,6.32,0.89,0.349,APER,N/A,1.21,0.58
308,192220+4448.3,192220+4448.3,192221+4448.3,19222082+4448180,290.58678,44.805,12.645,9.317,3.328,6.975,0.899,0.364,APER,N/A,0.42,0.44
309,192228+3708.2,192228+3708.2,192228+3708.2,19222786+3708152,290.61611,37.13757,12.229,9.355,2.874,7.704,0.914,0.288,QPER,51.4,0.21,0.13
310,192233+4419.2,192233+4419.2,192233+4419.2,19223315+4419153,290.63814,44.32094,12.818,8.889,3.929,6.75,0.951,0.336,QPER,79.5,1.14,0.54
311,192234+4014.2,192234+4014.2,192233+4014.2,19223361+4014142,290.64005,40.23729,12.965,11.604,1.361,10.52,0.586,0.142,QPER,40.37,0.34,0.25
312,192244+3715.1,192244+3715.1,192243+3715.1,19224373+3715054,290.68221,37.25153,14.607,10.107,4.5,7.812,0.95,0.353,APER,N/A,1.22,0.24
313,192247+4812.2,192247+4812.2,192247+4812.2,19224710+4812107,290.69626,48.203,11.096,10.612,0.484,10.229,0.121,0.086,EA,0.95238,0.64,0.73
314,192257+4526.2,192257+4526.2,192257+4526.1,19225744+4526116,290.73936,45.43657,13.074,9.184,3.89,6.826,0.968,0.322,QPER,85,0.9,0.49
315,192304+3825.8,192304+3825.8,192304+3825.8,19230380+3825507,290.76587,38.43076,12.22,8.714,3.506,6.726,0.908,0.336,QPER,30.14,0.29,0.13
316,192312+3809.7,192312+3809.7,192312+3809.7,19231191+3809395,290.79965,38.16098,10.807,8.297,2.51,6.74,0.849,0.273,APER,N/A,0.21,0.07
317,192319+3759.1,192319+3759.1,192318+3759.2,19231859+3759125,290.82749,37.98682,15.205,10.991,4.214,8.624,0.941,0.366,QPER,77.7,1.4,0.4
318,192323+4855.9,192323+4855.9,192323+4855.9,19232298+4855551,290.84576,48.93198,10.69,8.877,1.813,7.686,0.786,0.214,QPER,44.18,0.15,0.11
319,192323+3909.1,192323+3909.1,192323+3909.1,BLEND,290.8458,39.1517,13.713,10.104,3.609,99.999,99.999,99.999,QPER,29.94,0.45,0.15
320,192325+4231.7,192325+4231.7,192325+4231.7,19232453+4231425,290.85221,42.52847,13.142,12.498,0.644,12.264,0.327,0.059,RRAB,0.68364,0.7,0.49
321,192328+3727.8,192328+3727.8,192328+3727.9,19232761+3727534,290.86507,37.46485,12.826,11.993,0.833,11.829,0.286,0.055,APER,N/A,0.37,0.15
322,192345+5116.2,192345+5116.2,192345+5116.2,19234498+5116118,290.93742,51.26995,12.636,11.446,1.19,10.541,0.549,0.15,CEP/PER,13.367,0.51,0.35
323,192345+3744.5,192345+3744.5,192345+3744.5,19234503+3744304,290.93766,37.7418,10.678,9.366,1.312,8.468,0.631,0.15,QPER,33.38,0.14,0.1
324,192356+4731.7,192356+4731.7,192356+4731.8,19235609+4731457,290.98372,47.52937,14,12.709,1.291,11.808,0.585,0.143,QPER,47.83,0.75,0.4
325,192406+4432.8,192406+4432.8,192406+4432.8,19240597+4432470,291.0249,44.54639,11.788,11.303,0.485,10.938,0.175,0.025,PER/EW,0.187864,0.06,0.03
326,192408+4239.0,192408+4239.0,192408+4239.1,19240774+4239016,291.03227,42.65047,11.683,9.269,2.414,7.839,0.857,0.271,QPER,17.54,0.21,0.12
327,192411+4023.2,192411+4023.2,192411+4023.2,19241071+4023116,291.04464,40.38657,12.068,9.532,2.536,8.056,0.897,0.279,QPER,38.49,0.41,0.16
328,192424+4516.3,192424+4516.3,192424+4516.3,19242408+4516205,291.10035,45.27237,12.282,9.406,2.876,7.729,0.845,0.272,QPER,45.32,0.61,0.28
